Date,Open,High,Low,Close,Adj Close,Volume
2000-05-10,0.001870,0.001870,0.001806,0.001838,0.001694,212630653
2000-05-11,0.001806,0.001806,0.001711,0.001775,0.001636,211439905
2000-05-12,0.001806,0.001806,0.001775,0.001806,0.001664,123850733
2000-05-15,0.001775,0.001775,0.001711,0.001711,0.001577,145015837
2000-05-16,0.001743,0.001743,0.001680,0.001743,0.001606,150023501
2000-05-17,0.001743,0.001743,0.001616,0.001680,0.001548,209153167
2000-05-18,0.001680,0.001680,0.001585,0.001648,0.001519,80800058
2000-05-19,null,null,null,null,null,null
2000-05-22,0.001616,0.001616,0.001553,0.001585,0.001461,80468877
2000-05-23,0.001616,0.001616,0.001553,0.001585,0.001461,80468877
2000-05-24,null,null,null,null,null,null
2000-05-25,null,null,null,null,null,null
2000-05-26,0.001616,0.001616,0.001553,0.001616,0.001489,76510132
2000-05-29,null,null,null,null,null,null
2000-05-30,null,null,null,null,null,null
2000-05-31,null,null,null,null,null,null
2000-06-01,null,null,null,null,null,null
2000-06-02,0.001680,0.001680,0.001553,0.001553,0.001431,1285884936
2000-06-05,null,null,null,null,null,null
2000-06-06,0.001648,0.001648,0.001585,0.001585,0.001461,315235931
2000-06-07,null,null,null,null,null,null
2000-06-08,null,null,null,null,null,null
2000-06-09,0.001775,0.001775,0.001680,0.001743,0.001606,1146202769
2000-06-12,0.001711,0.001711,0.001616,0.001648,0.001519,154038403
2000-06-13,0.001616,0.001616,0.001553,0.001616,0.001489,174194074
2000-06-14,0.001648,0.001648,0.001553,0.001585,0.001461,455022824
2000-06-15,0.001585,0.001585,0.001489,0.001521,0.001402,247557689
2000-06-16,0.001521,0.001521,0.001426,0.001426,0.001314,188977252
2000-06-19,0.001521,0.001521,0.001426,0.001489,0.001372,107328619
2000-06-20,0.001553,0.001553,0.001489,0.001521,0.001402,307479330
2000-06-21,0.001585,0.001585,0.001521,0.001585,0.001461,751245096
2000-06-22,0.001553,0.001553,0.001489,0.001521,0.001402,302883309
2000-06-23,0.001553,0.001553,0.001489,0.001521,0.001402,186322781
2000-06-26,0.001521,0.001521,0.001458,0.001489,0.001372,97384313
2000-06-27,0.001458,0.001458,0.001426,0.001458,0.001344,86667265
2000-06-28,0.001489,0.001489,0.001458,0.001458,0.001344,28636042
2000-06-29,0.001521,0.001521,0.001426,0.001521,0.001402,184879618
2000-06-30,0.001489,0.001489,0.001426,0.001458,0.001344,71858490
2000-07-03,0.001489,0.001489,0.001426,0.001426,0.001314,65950701
2000-07-04,0.001426,0.001426,0.001363,0.001363,0.001256,78623519
2000-07-05,0.001394,0.001394,0.001331,0.001363,0.001256,138982929
2000-07-06,0.001426,0.001426,0.001394,0.001394,0.001285,41420518
2000-07-07,0.001394,0.001394,0.001331,0.001394,0.001285,28437015
2000-07-10,0.001394,0.001394,0.001331,0.001394,0.001285,49705521
2000-07-11,0.001458,0.001458,0.001363,0.001394,0.001285,170605940
2000-07-12,0.001363,0.001363,0.001299,0.001331,0.001227,101511307
2000-07-13,0.001363,0.001363,0.001331,0.001331,0.001227,92463624
2000-07-14,0.001331,0.001331,0.001299,0.001331,0.001227,45518199
2000-07-17,0.001299,0.001299,0.001236,0.001268,0.001169,102407725
2000-07-18,0.001293,0.001293,0.001268,0.001268,0.001169,148927298
2000-07-19,0.001293,0.001293,0.001268,0.001268,0.001169,148927298
2000-07-20,0.001331,0.001331,0.001299,0.001331,0.001227,49240380
2000-07-21,0.001363,0.001363,0.001299,0.001331,0.001227,126279064
2000-07-24,0.001394,0.001394,0.001299,0.001331,0.001227,115885043
2000-07-25,0.001363,0.001363,0.001331,0.001331,0.001227,59334638
2000-07-26,0.001394,0.001394,0.001331,0.001363,0.001256,141404045
2000-07-27,0.001363,0.001363,0.001299,0.001363,0.001256,120648066
2000-07-28,0.001363,0.001363,0.001299,0.001331,0.001227,49626660
2000-07-31,0.001458,0.001458,0.001394,0.001426,0.001314,307893488
2000-08-01,null,null,null,null,null,null
2000-08-02,0.001489,0.001489,0.001394,0.001426,0.001314,313421612
2000-08-03,0.001426,0.001426,0.001394,0.001426,0.001314,39682449
2000-08-04,0.001426,0.001426,0.001363,0.001363,0.001256,120861935
2000-08-07,0.001394,0.001394,0.001331,0.001363,0.001256,16505418
2000-08-08,0.001363,0.001363,0.001299,0.001331,0.001227,387447762
2000-08-09,0.001331,0.001331,0.001268,0.001299,0.001197,186985183
2000-08-10,0.001293,0.001293,0.001268,0.001280,0.001180,34627469
2000-08-11,null,null,null,null,null,null
2000-08-14,0.001394,0.001394,0.001331,0.001363,0.001256,143785636
2000-08-15,null,null,null,null,null,null
2000-08-16,0.001331,0.001331,0.001299,0.001331,0.001227,23241254
2000-08-17,0.001331,0.001331,0.001268,0.001299,0.001197,1192751126
2000-08-18,0.001363,0.001363,0.001268,0.001331,0.001227,779291099
2000-08-21,0.001363,0.001363,0.001299,0.001331,0.001227,231753998
2000-08-22,0.001299,0.001299,0.001236,0.001268,0.001169,189311556
2000-08-23,null,null,null,null,null,null
2000-08-24,0.001363,0.001363,0.001299,0.001331,0.001227,220587432
2000-08-25,0.001363,0.001363,0.001299,0.001331,0.001227,151198745
2000-08-28,0.001331,0.001331,0.001299,0.001331,0.001227,118865497
2000-08-29,null,null,null,null,null,null
2000-08-30,null,null,null,null,null,null
2000-08-31,0.001363,0.001363,0.001299,0.001331,0.001227,126538679
2000-09-01,null,null,null,null,null,null
2000-09-04,0.001331,0.001331,0.001299,0.001331,0.001227,80815830
2000-09-05,null,null,null,null,null,null
2000-09-06,0.001331,0.001331,0.001299,0.001331,0.001227,23389937
2000-09-07,0.001331,0.001331,0.001268,0.001299,0.001197,421412602
2000-09-08,0.001306,0.001306,0.001255,0.001293,0.001192,270576889
2000-09-11,0.001280,0.001280,0.001242,0.001268,0.001169,91036099
2000-09-12,0.001293,0.001293,0.001217,0.001230,0.001134,911359915
2000-09-13,0.001280,0.001280,0.001255,0.001268,0.001169,190809897
2000-09-14,0.001268,0.001268,0.001230,0.001242,0.001145,85326659
2000-09-15,0.001255,0.001255,0.001230,0.001242,0.001145,102470829
2000-09-18,null,null,null,null,null,null
2000-09-19,null,null,null,null,null,null
2000-09-20,0.001141,0.001141,0.001077,0.001128,0.001040,612112096
2000-09-21,null,null,null,null,null,null
2000-09-22,null,null,null,null,null,null
2000-09-25,null,null,null,null,null,null
2000-09-26,null,null,null,null,null,null
2000-09-27,null,null,null,null,null,null
2000-09-28,0.001153,0.001153,0.001128,0.001128,0.001040,247983470
2000-09-29,0.001115,0.001115,0.001103,0.001103,0.001017,53995510
2000-10-02,0.001128,0.001128,0.001103,0.001115,0.001028,45423496
2000-10-03,null,null,null,null,null,null
2000-10-04,0.001153,0.001153,0.001128,0.001141,0.001052,731214505
2000-10-05,null,null,null,null,null,null
2000-10-06,null,null,null,null,null,null
2000-10-09,null,null,null,null,null,null
2000-10-10,0.001179,0.001179,0.001141,0.001141,0.001052,226967253
2000-10-11,0.001242,0.001242,0.001179,0.001230,0.001134,2662167307
2000-10-12,null,null,null,null,null,null
2000-10-13,null,null,null,null,null,null
2000-10-16,null,null,null,null,null,null
2000-10-17,0.001933,0.001933,0.001806,0.001870,0.001723,4249991597
2000-10-18,0.001870,0.001870,0.001775,0.001870,0.001723,805201240
2000-10-19,0.001965,0.001965,0.001838,0.001933,0.001782,1626260868
2000-10-20,0.002092,0.002092,0.001933,0.002028,0.001869,2151376284
2000-10-23,null,null,null,null,null,null
2000-10-24,0.001838,0.001838,0.001743,0.001775,0.001636,512819344
2000-10-25,0.001806,0.001806,0.001743,0.001775,0.001636,388804077
2000-10-26,0.001965,0.001965,0.001838,0.001933,0.001782,1626260868
2000-10-27,null,null,null,null,null,null
2000-10-30,0.001838,0.001838,0.001743,0.001775,0.001636,685901491
2000-10-31,null,null,null,null,null,null
2000-11-01,0.001775,0.001775,0.001680,0.001711,0.001577,385886127
2000-11-02,null,null,null,null,null,null
2000-11-03,0.001870,0.001870,0.001806,0.001806,0.001664,363056136
2000-11-06,0.001870,0.001870,0.001806,0.001806,0.001664,483814694
2000-11-07,0.001838,0.001838,0.001775,0.001806,0.001664,120957316
2000-11-08,0.001743,0.001743,0.001680,0.001711,0.001577,425024552
2000-11-09,0.001806,0.001806,0.001743,0.001806,0.001664,241966444
2000-11-10,0.001870,0.001870,0.001775,0.001806,0.001664,413282126
2000-11-13,0.001838,0.001838,0.001775,0.001775,0.001636,959542466
2000-11-14,0.001806,0.001806,0.001648,0.001711,0.001577,612522200
2000-11-15,0.001743,0.001743,0.001680,0.001680,0.001548,147239692
2000-11-16,0.001743,0.001743,0.001680,0.001680,0.001548,165290824
2000-11-17,0.001680,0.001680,0.001648,0.001648,0.001519,58112047
2000-11-20,0.001616,0.001616,0.001521,0.001521,0.001402,358034766
2000-11-21,null,null,null,null,null,null
2000-11-22,0.001363,0.001363,0.001204,0.001299,0.001197,668616635
2000-11-23,0.001489,0.001489,0.001394,0.001458,0.001344,941613252
2000-11-24,0.001426,0.001426,0.001363,0.001363,0.001256,446300865
2000-11-27,0.001458,0.001458,0.001363,0.001363,0.001256,371034089
2000-11-28,0.001299,0.001299,0.001172,0.001172,0.001080,797774424
2000-11-29,0.001230,0.001230,0.001090,0.001191,0.001098,1783539451
2000-11-30,0.001331,0.001331,0.001230,0.001331,0.001227,2108971426
2000-12-01,0.001268,0.001268,0.001153,0.001179,0.001087,1613722396
2000-12-04,0.001268,0.001268,0.001128,0.001153,0.001063,1403962132
2000-12-05,0.001293,0.001293,0.001166,0.001293,0.001192,3258168119
2000-12-06,0.001521,0.001521,0.001426,0.001521,0.001402,104284493
2000-12-07,0.001838,0.001838,0.001775,0.001838,0.001694,110885186
2000-12-08,0.001838,0.001838,0.001553,0.001680,0.001548,2483036424
2000-12-11,0.001997,0.001997,0.001870,0.001870,0.001723,1839758816
2000-12-12,0.001838,0.001838,0.001680,0.001711,0.001577,645533085
2000-12-13,0.001711,0.001711,0.001521,0.001521,0.001402,594833927
2000-12-14,0.001553,0.001553,0.001426,0.001458,0.001344,522065817
2000-12-15,0.001838,0.001838,0.001553,0.001680,0.001548,2483036424
